label,text_processed,length
1,люди повертатися закордон іноземець піднімати руський похмурий посміхатися йти зустріч усміхнений підсвідомо настрій норма мудак,15
1,дрочиловав швидко палець почати димити,5
0,група вк шука́ти погулятивпискиалкотоваришівхлопцівдівча,4
1,найбільше підходити курвиту церковний проповідь довгий нудний,7
0,зробити щоб голий дружка подивитися,5
1,говнарє мати кіл мати мама,5
1,навчитися готувати мудак,3
0,короче розповісти почати вчора читати новий книга,7
1,уйді лох маслинковий,3
1,бог нахуя лізти минуле знати зробити боляче їбанута бабіна,9
1,боятися заглядати словник наглий дішовкапідарас говоритьвата,6
1,авсьознайти́ лох 8,3
0,овочевий супчик курка врятувати ранок кий,6
1,найгімнонць найкращий знати робити ганяти гроші,6
0,колядувати гроші стипендія студент геморно єслічесненька,6
1,діти надрочу́ти батьки подати приймання психотерапевта,6
0,перш половина день настрій зіпсули вечір стати кул,8
0,спробувати убаюкатинадобраніч,2
0,пунктуальність стабільний суцільний капєка,4
0,27 джоаннаголоден гра боятися наркома́н побожевільний прекрасний,7
0,шоусамотньогохолостяка вікно режим зимовий провітрювання,5
1,корочея любити міняти сторона сон ліжкуале білядвері голова́ спати самабо дитинство боюсящо простір вночі рука чиясьщось голова схватить отець мразота вчора рука тімя кинути стеля залізти,26
0,поняв прикол кидати фото,4
1,підарас відміна більшість люди особливий освітній заклад установами1031821225398611968 …,9
0,настрій полінуватися зробити пятницю день,5
0,повідкривал вікно впускати весна дім,5
0,фейк фан сайттіпо шуточки,4
0,аа точно грізман роналду важко успіх,6
0,безвихідь буття відкривати ворд втикаєш закривати ворд,7
1,окей фінал взагалі терпіти рятувати повірити цінувати мудак поводитися проведений чудовий момент разом знати любити,15
0,появитися бажання звязати змусити подивитися прочитати,6
0,будинок нині відкрити новий крамниця зайшлий купити вода зустріти сусідів,10
1,прехуйовиш пройти життя проблема,4
1,ділати друг натискає бля,4
0,хозьє просити відвести церква хотіти лавандове поле,7
0,робочий день скінчитися душ спати підйом 630,7
0,80 грн аду місце ворог побажати харківський померки,8
1,найгірший охігезні людина настілько глупий змогти зробити благополуччя,8
1,педор привести будинок щастя привести додому,6
0,хотіти чути слухати чу́ти філософія 3 закон ньютона,8
0,даааа Наталя Миколаївна розказувати вітаю великий умнічка,7
0,народ зберігати квиточки,3
0,секс лікувати хворий,3
1,казати пані охуївши коронавірус охуїмо життя простий,7
1,їбанута пишатися,2
0,змінитися лишитися мерзли,3
1,курс справедливість – сірожу впрягаятися мразота зуб зводити казати русню,10
0,вдатися знайти машина убер моєвперше,5
0,доус дорожній робота чекати закінчення роман ашотоді,7
0,айтішніки скандинавський мінімалізм центр,4
1,поет підараси поль верлен крутий двічі підарас мінус мінус давати плюс всіпоетипідараса поет ображатися,14
1,виглядати офігєнно партія політика,4
1,зробити драчка потрапляти зустріч батько закрити око промовити привіт драчко,10
1,зробити довбанув знайти партнер поїхати клумби знайти довбанува,8
0,кидалово віскі хороший компанія пити,5
0,найвеселіші момент школа історик,4
0,тааак вийти 25 раз дешевше рибка насиченішия смак,8
1,перерахувати гроші знайти краса куплений,5
0,ядро скромний аудиторія,3
1,спина відштовхнути пяного уйобка дати можливість чоловік сісти місце уйобок почати голосно вийобуватися,13
0,шанс знайти старий звісно писати група пропажзнахідка,7
0,обїздив франківщину цікаво,3
0,янушеску підвішувати засяйця держзрада солідарні,5
1,стаска нє шлюха мєня бути мєчти,6
1,цитувати курган уходиш пиздуй 742,5
1,забувати скурвлювання церква протиправний,4
1,продовжувати рейтинг майнд україна обскаче залупу пойнт думати зрозумілий влаштовувати безвіз уругавєм катаєтесь єс сша Канада іти нахуй,18
1,шапка шерсть тепло хустина новий препарат заїбись скотина,8
0,нуууу місто вчити впертост готовий труднощі,6
1,знати дивно дівчина мати чоловіків шлюха хлопець самець крутий респект,10
1,йобнутий вечір шо уявляти,4
0,звертатися чолові́к молодший принаймні 2930,5
1,попиздути друз,2
1,афігєют мати зробити жінка завадити хлопець афігєют,7
1,працювати гівнопроект родич молоді,4
1,іти нахуй шутнічькі,3
1,йобтвоюмі мама приймати,3
1,пропутінська мразота радіти дивно розвалити ес мрія 746212545262850048 …,9
1,лох підняти волосся піпець юляна майстер сто записуватися чергу71,9
1,довийобувал зрозуміти гірший гарячий частковий прання,6
1,вийобщикамиайтішниках інтелект платити дорога,4
0,мацьопа миля слово кубіта фацет,5
1,настілько недотрахан мураха бачити порушник правило,6
1,знов початися паніка біль шия ходити просити колєг потрогати шийка канєшно привикти шо їбанута,14
1,Тарас підарас гандурас,3
0,подобатися дужи харизматичний,3
1,пизданина привітатися робота прийнятий пиздань,5
0,згадати перший побачення морознулась вованади поцілувати,6
0,простіший піти свіданку забиватись00,4
0,одноока піратка — очевидний варіант,5
0,колекціоний чеки турбувати сума назбирати,5
0,долюбили життя отримати сповна чужий захоплення соцмережі,7
1,наєбалов помилка,2
1,наєбаєш люди почути слухати,4
1,висучність мама мати худо просити допомога,6
0,ліжко бабусиній хата нагадувати дитинство,5
1,бляяяяяяяяя йти військовий частина вітати привітний послання,7
0,мило спииить вибити поспати хоть нормально,6
0,Моршин їхати машиноюмаршруткоюмашиноюзнову маршрутка електричку встигнути,6
0,чучуть нерасистка купило біль зуб зеді сміт,7
0,прямо знаходити руйнування життя,4
1,подлєци еті звучати муркотіння кіт лампове читання старий улюблений книжка гівноїд мразота вивихнутим світогляд,14
0,знати насправді сарказмом сміх ховатися сум однокласник,7
0,димна суміш викласти запис,4
1,войне полоти этот мудак законченный пацифист ірвін велш цитата думати міняти,11
1,фанат джарахова відписуватись писати реплаї підар,6
1,йобатур займа́тися продукт батько продавати,5
0,купити тато значити диню мама подивитися нашо зараза купити арууу,10
1,знати гавнєць приготувати правильно обід,5
1,обамавєбієщ знати вирішити проблема придумати обаму,6
0,підїзд обдарую листівочко,3
1,надрочу́ти голова дядько пробачити потрапити безбожний ситуація,7
1,насрав парень отримати робота банк насрав,6
0,памятаєш торт вино думати припруся,5
0,закінчитися тиждень навчання дізнатися новий куратор,6
1,зробити діджіталіхуіджіталіхуй працювати звернутися діджіталіхуіджіталіхуя,5
1,звання лох забирати територія готель номер годний зайти браузер виявитися заблочені порно сайт приїхати відпочити одразу нахуй жити,18
0,громадянство відкритість світ податок військо,5
0,бачити вирішити прийти цікавий формат захід аудиторія,7
0,пара написати тест найкращий,4
1,лох,1
0,5050 окремий рубрика дивитися,4
0,12 нервую жахливо трусити почати задихатися,6
0,перший сніданок приходитися їсти одразу,5
1,зробити всцикання ставати поширений заблокути жінка дім,7
1,перелякатися закинути сход Україна липовий патріот підарас щоб знали7115,9
1,думати варта уяснить шо чмо мудак забувати мудак мудак шанс якшо перестати мудаком сложно,14
1,дойобуйте бабуся прийняти потрібний,4
0,сподіватися Америка вплинути чудовий унікальний акцент,6
1,знати робити сидіти йобань,4
1,кіт шлюха знати,3
0,підбор трігерять голий нога літній гумі ожеледицю,7
1,зробити дівчина подобатися дрочка викинути,5
1,йобнула мама дитинство,3
1,49 маршрутка шлюха останній,4
0,однозрозуміло надати перевага,3
1,залупку написати бабуся,3
0,твітері подобатися життя,3
0,порадити головня толкового,3
0,айва вставні чєлюсті кишковик вибачте ялб,6
1,мудакуватість імя починатися іді закінчуватися,5
0,нольноль бальной витягти найбільше користи,5
1,працювати медіаблядві заробляти гроші,4
1,зробити залупа порвати подивитися дружина,5
0,пробувати дратувати серйозно,3
0,англ ханна типовий америкєврейський імя,5
1,роби́ти двоє курвупців ліжко стрибати біку бік,7
0,любий фесті дах рвати бачити,5
1,одинхєри серце,2
0,плітки плітки плітки ненавидіти місто,5
1,ранок починатися дорікань бубубу бєбєбє волосся іти нахуй блять,9
1,« му » говорити корівка « гав » говорити собачка « блять тупий скотина » говорити,16
0,оке старий пара місяць пройти випуск,6
0,нічний спати лягати година зря,5
0,вперше осінь вгадати приїзд мршр 25 хввилин зупинка тусую сумнота,10
1,девушки офігенність привести друз залежність алкоголь,6
1,сказати лох сказати почати,4
0,кошача груповий вікно́ вереск,4
1,нині захлинутися мило голова світ нагадування мразота тип мати самогубство планувати їздити столиця,13
1,комар пролазять москітну сітка бачити любий друг комар прориватися життя лох,11
1,зробити правильно лоховство,3
1,робити зайоб зала пропадати,4
1,феміністка їбанута підійти,3
0,дядя купити рожевий трусєля обтяжку ходити хата трусити бедрами,9
1,мати відношення мудаковатіш мудаковатіш,4
1,їбанута голова познайомитися,3
1,гімнюшка приносити дар працювати достатньо пити пляшка пляшка,8
0,напастой гребти звати точно запамятав тупо твіт писати катя,9
0,питати справа попрощатися піти,4
0,тварюко ласка бер зло здатний,5
0,бабуся постійно Оксана імя мама іра імя двоюрідний сестра,9
0,йти робота крепатура кращий ідея,5
0,поміняти заставку арктичної квітчастий відчуття викинути ялинка хата,8
0,дідько побачити твіт піти погуляти,5
1,ахуєзнога правительство продати країнні ресурс ахуєзна,6
0,влаштувати кіновечір дивитися фільм 90х грати едді мерфі,8
0,український література гейства єсі шо,5
1,парний йога інтерес найти пара наблюдаю лох,7
1,Анатолій йти нахуй Гриценко,4
1,нафєгнув пам ’ ять бабуся пара гривня забути існувати,9
1,мати всрачка дворняга піти,4
1,заїбало ставити стойло підміною поняття хуйбєнськьій сів пляшка миротворець зустріч діти пояснювати мусолите заїхати тимчасово непідконтрольну територія Україна Україна – піти нахуй,22
0,починати перший останній дійти знати,5
1,банкихуянка ма́ти думка варта використовувати мозок,6
0,український переклад каесдешнога відьмака дніще обкладинка брати,7
1,гроші дорогуще печево людина мразота заслуговувати мати гроші квиток,9
0,сімдесят ніч осінь вбити серцевий принцип,6
0,збивати машина зловити водій навчити цілитися точніший,7
0,вікно правда кіло ковбаса михеїл саакашвіла,6
1,безцицькат вирішити стати президент україна впад безправну безцицькат,8
0,місяць приход свмиколая чемний,4
0,пожиратєлі дівочий серце ставати мімімішок постійний стосунок,7
1,ділає збсбенд йти дівча залишати поведінка,6
0,ощадбанк комунальний платіж,3
0,орел решка українська відомий росії знати,6
0,діалог сміливо вирізати матка,4
0,актівний пасівнога офсайду відрізнятися геїв щас,6
1,блядва,1
1,лох вдома настілько тупий нет доводитися сидіти моб,8
0,дорога знов останній момент вїхати їда,6
1,підарас заржала впустити кружку чай,5
0,Львів неперевірена інфа кінгкросс замінувал шось чути,7
1,бакалярва вистачати мама продати гроші,5
0,збережений потроху вмирати користуватися контакт найбільше шкода,7
1,гівновоз приїхати місто запросити місцевий житель хотіти принести відповісти принести доступ Інтерне́т,12
0,дивитися вчора індійський кіно пускати сльоза зворушливий момент,8
0,шарити слово асоціюватися,3
1,робити бляблябляблябляблябляблябля визволяти полон йти додому пригорнути мама,8
0,прибити палець двері забути проїзднити зимовий куртка непоганий ранок,9
1,йобнутий,1
0,дезіки дім повикидаю почати мазатись содою,6
0,причина горіння вогнегасник,3
0,часом потяг спізнюється 2 година софіякий уз,7
1,батько попиздив дім повернутися,4
1,довбанутий друз потрібний приховування,4
1,правити пиздежом політик глядати гримасти,5
1,ділає говнозад вихідний їздити машина лікарня поновлення мочі,8
1,доця пиздуй пара вчити,4
0,дн влітку вулиця випадок тепло,5
1,припізджання припізджають просити підтримка,4
0,відправляти приватний ключ невідомий сайт,5
1,ахуєвшші відчувати ма́ти мозок,4
0,знати написати лист чекати написати відміна рейс,7
1,мило йобнутий слово передати тююю,5
0,хуйовими спеціями неправильний пропорція,4
1,мати мордашка їжа голодний,4
0,всестадія сопельки пройшладякувати бог йти чортиєєєп,6
1,мати найбільший мандрівник Україна жополизом,5
1,аутистів зрада облишити наступний приходити,5
0,хороший збоченнями займатися,3
0,йооой моторошно пара година місце,5
0,сходити Юрко хотіти мінімум 3 річ ше платтячка міряти,9
1,лох гіка зграя підароти луценко освіта ніззя прокурор наєму – їбуть натурально,12
1,сподіватися діма піти нахуй,4
1,зйобу бабки працювати простір прогулянка,5
1,зробити дружина почати використовувати аїуєннні відпустити,6
0,завести живе офіційно красивішого будильника надю,6
0,знати спілкуватися кимосьа питати,4
0,блогівка привіт чятіку львівянчики лю,5
0,піввалізи білий рукавичка знімальної група,5
0,літо босоніж нога́ видно,4
1,ояїба мозок використати запросити дім,5
1,всіпідараєш робити дурень,3
1,виїбать педосівських дешевше придбати автобус,5
1,бачити дівчина заєбла бабуся змогти вирішити проблема,7
1,мухропенда мухропенд президент радіти дати гроші правило,7
1,охігєнна ідея віддати дівчина кредитний картка день народження,8
0,фотопелюшка малят здуріти гарно фоткати,5
1,говорити жирушка використовуватися зробити жирнішим,5
0,оу виживай старатися напрягатись,4
0,прийшлий додому прочитати новини спати,5
0,різниця винести сміття померти,4
1,поставити лохотрон ціна правда,4
1,дурний повйобувати,2
1,наєбав батько навчитися розуміти,4
0,малий робота ше тіки бігти,5
0,повернути голос мовчати 3 дно дууууже кайф,7
0,прийти літо антикавова дієта завершитися наступний весна осінь,8
0,кава напємося приїздю 1130 відїздю 1333 йти,7
1,їбанутий мудак відчепися сонечкокотик класика916162371453947906 …,6
1,фак мудак доля вирішити,4
1,мудак змушувати плакати бігати баба тупий,6
1,держава зафігачена знати дійти,4
1,посрала джинси знати посрала добро,5
0,заспівати тві дізнатися співати,4
1,охїбати батьків правильно,3
1,найїбенистішим спосіб запобігання залишатися робота найїбенистішим команда,7
0,дизайнер знати флізелін коштувати дорого,5
0,факт 13 чути втопитися ставок вміти плавати,7
1,натискання похула небезпечний використовувати неправильно,5
1,обісциш настілько глупий глупці почути мудрішими,6
1,лох канєшно пиво пила ревом травилась,6
0,обідилась мама тато зїли цукерка всіііі лишити,7
0,брейкінг вино водка коньяк наливка пила компот,7
1,їбуться хуль лох безрукий,4
0,чорт день вдома сидіти хвороба потрібен,6
1,підар Олеся хєр пох паті,5
1,зробити пздцкрчка почати пити започала ближчий дівча,7
1,дія долбойобіку заснуває продовжувати долбати,5
1,зробити всрусна дівчина побачити бабуся побігти,6
1,впиздиш парк атракції радість знайти,5
1,блогорідер розфоловив витримати видати нови́й препарат заїбись скотина нарінея заодно,10
1,зима давати вдягатися шлюха,4
0,заважати повторити подвиг,3
0,відростила дзен слінгом закальонна мати,5
0,подивитися маленький пиво,3
0,перш забути подумати зустрінути такогоу самогоу,6
1,ніфігаа знати залишатися лазня,4
0,слухати пісня казати ржу реплая,5
0,прокинутися поснідати лягти богєма нє,5
1,йопта робити мама птах готувати запікання,6
0,незабуте 3 вохвів подарунок Ісус,5
1,йобвашум дуракам зна́ти англійський,4
0,новий гастрономічная любоф норвезький суп егерзунд вихаді міняти,8
1,перевірити лох,2
1,йобнутий сантиметр чорний хутро задирається,5
1,інтервю ірландським премєром побачити яценюка тіп лох яценюк тєму запіздєл,10
1,робити лєтіжопз бар випивати пиво грати автомат гроші,8
0,знати сильний жінка стриматися,4
0,пивний рокфест цьогоріч пиво вживатися норма,6
1,охреніться говорити жінка справедливо обраховуються суспільство,6
0,зимовий канікули закінчитися хотіти весняний,5
0,читати офтальмологію боліти око нема ефект дерматовенерологією,7
1,піти нахуй шо мнє здєлаєш друг горадє мата сорє,9
1,мудракозів добути гроші банк двоє троє пять,7
1,зробити батько засмічили дочка відтрахілити син,6
0,ейну всьоясно дата гаплик,4
0,твігра завтра вночі приснитися відповідь,5
0,теорія – їсти полюдськи практика,5
1,змінити налаштування натиснути бля,4
1,очевидно тупорилий хуєсос зручно спілкуватися тема палати почитати бот дегенерать цілий – піти нахуй,14
0,дівчина шапка форма вязаної пілотки,5
1,вміти правильно використовувати слово контрнаїб контрнаїблів,6
0,кіт вурчить поводок втікти каєф,5
1,турбувати безсоння гарний новини новий препарат заїбись скотина,8
0,знати знайти державний дієтолога приватний дєнєх нєт,7
1,афігенна дівчина промова відмовлятися заявка залишатися сміливий,7
1,виникати бажання знищити нафіг машина вина власник мудак,8
0,робити психічний розлад нема гроші адекватний психотерапевта,7
0,барбара стрейзанд останній часом ікає перестанка,6
0,вибухівкою рознести півхати,3
0,оооо почати переслуховувати пісня,4
0,фототур їхати 5ро масквічєк сподіватися адекватний промовчати,7
1,сєрьожа коштувати зїздити гроші сєрьожа скасувати депутатський недоторканність сєрьожа поживає григорішин сєрьожа вижити соратник най надати медичний довідка мразота йобана,20
1,вирішити побути прикольною працювати ніч вперше життя заплатити ліцензія версія антивіруски посправжвоно зна́ти включатися писати мудак спонсор 2 година сон плач,21
0,хороший актор бездарний сценарій,4
1,найгірший подарунок отримати обісця зна́ти,5
0,обожнюю літера обожнюю пояснювати іноземець,5
0,світло мовчати дивитися око чай стіл,6
1,мати відношення гавноколажу погано пахнути залишати постійний неприємний запах кімната,10
1,зуб зуб зявилась щілина новий препарат заїбись скотина,8
0,1 білявка 1 кубик рубика увага питання,7
1,робити жінка заебали йти психолог заебати,6
0,католицький церква визнати земля круглий 1997 яснааа,7
1,відпиздиш мама відпиздити,3
0,сього́дні гуманітарій завтра мити планетарій,5
1,наєбенить людина знати робити,4
0,знайти українець натовп турист Єгипет вигукнути слава Україна,8
1,потренуватися шо лох,3
0,тип казати пацан тьолці думати,5
1,арнув бухгалтєра яро доказував шо бугалтєр щей економіст фінансист економіст економіст лохєта судьба,13
0,завтра лєна розказувати рівня інжира,5
1,біхуйна прочитати книга погано навчити,5
0,червень Львів концерт,3
0,голий торсі джекмана динамічненька,4
1,лох жизні лох ета судьба тіпічна,6
0,відкри́ти день салон робити манікюр мужчина екземпляр,7
0,совість гризти милий безневинний дядінька,5
0,ласка постаратися зїхати глузд,4
1,відпустка мудак сасєд робити ремонт 7ї ранкузнов,7
1,бачити тві колишній подруга підар полегшити зітхати почуття виконаний обовязку гортати стрічка,12
0,дивитися батьків дивитися сестра чоловік хотіти заміж,7
0,життя подобатися можливість приписати містіа жити будьде,7
1,зробити жирдяйку забути гаманець додому підкласти платіж,7
0,ше поїхати мріяти повернутися вляжешся ліжко,6
1,йоптити хорошо преміри заборонити використання,5
1,блядь безглуздий,2
0,їда барбакан сорі нота сорі казати,6
0,1 січень 2018 рука патологоанатом Україна,6
0,вирішити йти спати шото позіхати попадати буква перший,8
1,думати написати янович лох написати,5
0,життя знати троє геїв тві,5
0,скинути гіфку себастьяном стеном майка залипла,6
1,мудак мудак перейменовуй © звісно шевельова,6
1,ойблятьап настілько дурний підходити партія Платон,6
1,нє точно лох життя,4
1,заходити кімната мама включатися уходиш пиздуй бляяядь,7
0,місце хвіст літак місце поцілунок,5
0,зважати москалів країна рятувати,4
1,зробити батько дитина забрало жопку почати розбивати планки,8
1,думати шо мудаки виявлятися шо єдиний мудак,7
1,ляшко підар розумний річ когнітивний дисонанс,6
1,лох рука́ витягувати кукурудзку їсти окремо,6
1,хотіти передивитися фільм зрештою переглянути сцена кассель поводитися мудак сцена касселем куніс відлизує портман хороший фільм ящітаю,17
0,встигнути жовтень Грузія повернутися,4
0,дожити день вагон розетці,4
0,важкий тверезий ранок неалкогольне похмілля,5
0,боятися питати секрет бюджет машина дешбордом,6
1,хостиш хостелі хлопець кидати реквест дімі кидати реквест лох почекати вечір,11
0,розшифруйте взагалі ненавидіти абревіатура,4
1,найкращий робити неебем забирати вода,5
1,лохетосудьбою походити мати зарплата 50 гривня додатково платити лохетосудьбою,9
0,ше говорити група вуупс,4
1,ніїбі зна́ти використовувати,3
0,шо рухати стопа попадати множина,5
0,моєвперше послати йух охоронець « епіцентрі » « мій ненависть зростати бамбук… »,13
0,вражений життя зуб лишитися,4
0,померлий знайомий жінкасвинний грип дубні Львів обережний,7
0,осінь весна природний оновлення шевелюри,5
0,перебарщую кількість фото стрічка,4
1,підарас гомогєй,2
0,осінній депресія хотітися здохнути,4
0,Вінниця незручний поїзд повзти 100 кмгод,6
1,найкращий всєращєнку зробити попросити піти додому,6
1,пиздецька намагатися зробити зда́тний,4
1,робити айкуйн програти гра йти додому плакати айкуйні,8
0,захоплюватися знайти шукати,3
1,лашесрачу великодній кий дома заморожені,5
1,гірший пиздобрат пиздобратина,3
0,рядок надихнула розварена локшина сир чутьшо,6
1,раз – бомжа зняти гроші – лох бгг сумний жиза,10
0,дивуватися підписаний нести брєд повний,5
1,грілкамудак,1
1,роби́ти курви заснути курвоооють,4
0,порівняти кафедральним собор жінка молода щиґел,6
0,година кінець закривати головний гештальт трамва́й сихів,7
