text_preprocessed,label,len
народ а приймаєт біологічн добавк щоб прибавит силушк,0,8
том не вбач в нр чог сакральн не мож сказ різдв,0,11
у плоскоморд приятел нем друз бо всі бо йог плоск посмішк,1,11
нє каз багат що сам говорит за себ,0,8
що за прифіг так займ секс з ваш батьк,1,9
якщ запердоляєт доступ до свог дом знайт що не запердоляєт доступ до свог розум,1,14
кожн баб ма у соб неймовірн мудріст досвід,0,8
назв гер гречеськ богин хіб не крут,0,7
а я справжн закул подумал в забігайлівц ті в дєцтв з бабун,0,12
укртв мал сел всі знают хто мудак і хто ког їб ц 1711,1,13
бля що це за набєг учітілє жизн я в курс пацан прікіньт,0,12
йобтваюм дівчат брат багат грош хлопц щоб вон задоволен,1,9
ну чом зовс нє то ал теж варт перегляд,0,9
що за виєбєньмазг так люд робл вон прост виєбєньмазгуют,1,9
підар ол хєр пох пат,1,5
скажеш шоб відійшл на пар метр дальш,0,7
оц взагаліт я нещодавн стеж за твоїм твіт не знав фотограф,0,11
що правит в україн оккупайобід,1,5
я взагал не засн якщ двер відчинен вікн не зашторен,0,10
я володінн давн китайськ мистецтв між інш,0,7
всім дяк ідіт наху,1,4
що там не бач твіт профіл під замочк,0,8
сподів всі мраз росіян здохнут у пакет поїдут дод,1,9
о дяк то кажеш якш робит правильн не течут,0,9
так блят мо вмінн видалит і невчасн згад сказал мен ід наху,1,12
кум замов наліпк на машин трамп чмо бізнесмен тонк відчув тренд,0,11
держ перфекціонізм себ а тво лиц до зерн кукуруз,1,9
зна прост дуж не приємн я не чекал так реч людин як поважал,0,13
мен запропонувал поділит і я ну ок,0,7
щоб вийобув з житт треб трох пянк і дуж багат грош,1,11
вов ід наху до вов ми теб люб лиш за приходьт до мен ввечер будем шашлик робит,1,17
якщ теж йобнут то велк до сект тих хто мрі какт ча зі смак шампун,1,15
і ще на люкс працюв і гендел ма,0,8
взгляд цьог кот прям говорит шо єбанут пизду спать532,1,9
чуств себ лох кол втик ціл ден вдом а гол то помит,1,12
чот мен сикотн а поїд дал по кол бо нє то дуж і дуж поган,0,15
що робит зажопінськ дівчин кол ї поган прост їст сво проблем,1,11
не хотіл сьогодн пит ал пю оц так сил вол,0,10
і наскільк це част малореальн і дор в українськ реалі,0,10
мож я прост вигляд мудак а не том що я сидж в маршрутц,1,13
дума продуктивн що я робл не так хто тут накосяч спроб інш варіант на ког скинут це гімн можн зробит кращ нах взагал стар треб рост дал ха їбет кон це займ час одраз наху на помилк вчат я не помиля підар,1,42
натрах хлопц в ці кімнат,1,5
що надрочуєш мен на проблем не знаєш вирішув,1,8
нормальн цін електронн книг,0,4
якщ зайобітк буд дивит в телебаченн то буд бачит тільк поган новин,1,12
що зробит якщ тво охтижйоптв забул ден народженн твог друг прост прин йом пакет з паперосмітт прийнятн,1,17
шо то за тєм з адвенткалєндар всьо ріш в майбутн роц,0,11
якщ жив виблядок,1,3
вищіпув бров щоб пот соб намалюв,0,6
на вулиц ста спекотн на моєм термометр 28,0,8
хто тільк з ліжечк вилазит а я вже їдус,0,9
привід тільк теб бо підор більш нік,0,7
я тут соб атлічн відсип а як мудак прийш показник вод знім в субот зранк,1,15
фраз дня я слішк стар ет дєрьм,0,7
це вазонокулярисклянк молок і коротк чорн зачіскавон вічн,0,8
що вїбут мур по дороз до казин аб вон вїбут на щаст,1,12
аб борщ ал в пікас дуж смачн борщ,0,8
післ мюнхен мен прост не хочет дивит на люд в метр,0,11
якщ пососит парус то пососеш успіх,1,6
шкод я дум мен лікуванн призначиш,0,6
наїбенил так дівчинк по улиц що даж відхилил маривон,1,9
я бач палиш мен оч в теб гарн с,0,9
напиздиш своєм батьк,1,3
якщ взїбл до трет курс значит не знаєт ніч,1,9
що за блятьсук так причесал щоб ніхт не зрозум що це блятьсук,1,12
кажды суслик в сво пол агрон головн аргумент етнополічн дискурс на пар,0,12
що робит ахуєнчік післ тог заплат за просмотр непристойн фільм йде дод і ділит своє ахуєнчікіст з друз,1,18
не кусайт льодик якщ в чутлив зуб нікол,0,8
ну тепер і в о буд їх мокріньк кісаньк,0,9
дореч в асьц я з твітерян спілк,0,7
ну в мен так з дитинств прокид і чог трашн і ненач хто що поруч,0,15
чим більш це лайкаєт тим більш хоч,0,7
дівчат допомогл приготув торт на ден народженн,0,7
кол баб смієт ус відчувают себ кращ,0,7
я показ ал я не так як трєзв,0,8
о таааак у мен це віде кол півдн на повтор це чистісіньк маг,0,13
а может не торкаюч колін рахув пульс а я мож,0,10
найгірш що можн почут інженер то лінійк слабак слав автокад,0,10
українськ тижден бютнут на всю голов,0,6
ніхуйн будеш повніст залиш незадоволен якщ не купиш соб це продукт,1,11
і я не думал що написал з посил нащ пишеш бо тод я огризнул,0,14
що педосянин зроб кол йом потрібн попросит дівчин дат постав ї питанн хочеш спілкув з педосянин,1,16
жінк мают велик терпінн як допомож в будьяк ситуаці,0,9
блят я істинн лох я проснул на перш пар і тут бач що странн н не ставл до чорт це,1,20
ще трох і зможеш замутит соб що бо не ж слідуватимеш настанов мам,0,13
хто вже вид інтернат у львов ні,0,7
у нас 37 по гривн це вже сприймаєт давньотраянськ легенд,0,10
власниц моє кв настільк їбанут що без попередженн прийшл щойн мовляв загубил мі номер а я настільк туп шо відкрил ї,1,21
це мудак змуш мен плак а я за ним біг я баб я туп,1,14
нуууякщ в мен буд бірюз з сердечкамит хлопц з кімн не зрозуміют,0,12
що діл отгандон в кабінет директор завадит йом насолод,1,9
о мат на тижн гост і з тернопол і з харк,0,11
що афігенськ ма хазяїн бар заборон відвідув йог жінк,1,9
а о так назив мен чмо підар хуйл їблан дувбойоб придурок дурак ідіотін і не перечислиш,1,16
о один наїбнут жарт чом жінк не можут пілот бо вон прос швидкост наїбнут,1,14
що зроб жопопляс кол почув вибор поїх голосув з карт банк паспорт,1,12
припіздит баб з магазин,1,4
де у львов можн купит смачн булочк бутер,0,8
медичн робот допомогл дівчин вилікув тяжк хвороб,0,7
якщ шлюх тоб гот то це вже дружин с,1,9
5мал з брат спільн план брат напис що підем завтр,0,10
блят заїб оберт на мен в маршрутц мо вух мо булет ідіт наху,1,13
11 а на наш проект теор що до клієнт будут дзвонит і післ їхн смерт,0,15
я пізн дод прийшл і мен лін ал практик так,0,10
якщ у зйоб бабк то не працюв на простор прогулянок,1,10
сір лох якійт,1,3
з нас двох красив а я мудак,1,7
жінк – це велик розумник як здатн розуміт прийн правильн рішенн,0,11
що робит засир на корабл працю на корм щоб не дістав чорн,1,12
медсестр допомогл дівчин прийн відповідн лік,0,6
посрализїл так що мо невагом жарт здав потрібн терапі,1,9
о клас в мен вся стрічк істаграм в так а цьог не знал,0,13
жінк як працюют у додают сві внесок до розвитк технолог,0,10
нє я не дуж по фільм ал з опис що в вічц то не дуж подібн істор,0,17
бож так приємн то чит зазвича я на віде не дуж,0,11
і прав розказ мен я мудак знаходит поряд з моїм прав посл післ цьог під три чорт вдал робоч тижн,1,20
мудн чоловік прост прагн знов дитин щоб йом не потрібн витрач грош на подарунк друз родин,1,16
можеш не сильн стар я сам тістечк,0,7
шкод що я трошк в том лох с,1,8
тут написан церковн школ а я чит церковн шлюх я скаж спасіб шо не церковн першокурсниц,1,16
досвід робот менеджмент гурт — нє мен себ поменеджменит,0,9
дітермінован операц допомогл дівчин вилікув,0,5
що за пизданин так привітал на робот прийнят на пиздан,1,10
ойблятьап настільк дурн що йог підходил лиш парті платон,1,9
ахрєнєзн що деяк люд не можут прийн так їхн єств,1,10
дуж туд хоч ал скоротил бюджетн місц і я проліт,0,10
термальн вод в спре так ціл,0,6
не общітєльн шлюх,1,3
навіщ їх туд де теб ніхт не чек,0,8
в буд як раз – з бомж зняв а якщ ще за грош – то лох бгг сумн жиз,1,19
якщ встат піт галюцинаці посилюют політ йобнут хюстон,1,8
це припізднув чоловік не зна що так досконал люб,1,9
так як в приклад ставил я першачк збир,0,8
інод мен здаєт шо люд не бач прихован йди наху сенс в моїх слов,1,14
ну в офіс зяв друг і антагоніст як брак в постмодерн,0,11
блін взагал йобнут мікстейп вийш,1,5
дівчинк вже хвилин з 40масаж мен робит,0,7
не шлюх а свєтск львіц,1,5
правильн розбудован маркетинг стратег рєшаєт всьо,0,6
спасіб рутрекер шо на тоб всі випуск киевск старин 1882 рок,0,11
готуєм вечер і говорим числ фібонач і їхн експоненціальн ріст,0,10
но от шведськосімейств мен нерв ну зоч,0,7
ок а що ще тод бо тог хватит на пар мб віде ж на пар сек,0,16
збереш діт аб допоможеш в цьом квитк я знайд наріш,0,10
хто зна що за шлюх кароч шлюха7,1,7
непроїб ціє кімн,1,3
сьогодн ріл шпійон ід на вокзал забир ячєйк камер схов товар,0,11
на жал ні післ ремонт хоч піт на кур бо сам як не йде,0,14
і я сіл вчетверт переписув текст перфекціонізм шо дєлаєш прєкрат,0,10
взят за правил — не намаг ніч нік доводит,0,9
опш то це дєнєг стоїт в нас теж ввімкнул ал ми батаре скручуєм,0,13
о якщ мен чек так ж літ то крут пройдут рок згадуват літ 18ог,0,14
іде кинут універ уж не здаєт безглузд,0,7
за 130 бакс ма з мертв оживл а не прост світит,0,11
вперш в окуляр 05 в них дійсн кращ і зручніш ал оч так бол,0,14
сук а пот от буд вибач я не хотіл а я ж блят не скаж йди наху заїбал всьо хотіл бо обідит відітіл,1,23
це блят поваг чмо неблагадарн,1,5
оскільк напарафі секс нем львівян збудж виключн інфраструктур міст,0,9
що робит мудачеств в лікарн ніч лиш приходит пиш на стін,1,11
пар на 8 оц лох ал біг це похвальн умніц,1,10
хто оху угорц охуїл хто чмо йобан орбан чмо йобан пиздец що не сусід то пісн от пощастило201805257181385 …,1,19
ебанатк не зна що робит кол до не заход дво мужчин,1,11
не переконлив іб до моє ніхт не ліз і я не ні перед ким не мах,0,16
головн в ці жизн знайт людин котр можн кид нюд і налисник,0,12
ахуєєл за тим стол так жал що не з мно,1,10
трет людин тонк натякнул мен на бомжеподібн зовнішн вигляд,0,9
отот нарешт збир вирв на книжков арсенал,0,7
йоклмн виріш подарув сво дружин два монет на ден народженн одн за доброт і одн за що йоклмн,1,18
ще один виблядок скільк ж на мо дол випал,1,9
а що відповіл я сказал — вчит аб тік,0,9
хоч щоб воздихатєл присвячув вірш моїм червон оч,0,8
а вступ потрібн медичн довідк,0,5
я не в профком і з стєпух двацатк лиш вираховуют,0,10
так шлюх сам себ обніма,1,5
виїбнув йог батьк щоб не завад йом жит,1,8
натискаюч похул можеш вирішит багат пробл в один момент,1,9
якщ матер задрачуют то діт не будут знат що так добр,1,11
це надт прост вийобіст,1,4
якщ тво дівчин відчуваєт оцеблен то можлив занадт добр любиш,1,10
що за гівн якб нанох зїл в каф не вистачал ще до ньог наносупер,1,14
що зробит якщ випендрьожк забул сво грош прост посміхн і скаж ї щоб прийшл до теб знов завтр,1,18
мен досит натхненн на картин а дал вже під,0,9
а чом живеш раз з ним що за прикол,0,9
ну знаєш кєсар кєсарев а фронтмєн фронтмєн,0,7
ноєбал давн відсутн у цьом міст ал йог казк тримают тут дос,1,12
ну так ал в як сенс пита в но,0,9
мет то гарнюн ал у чистокровн азіат ху маленьк,0,9
кинул від з остан вписк єб я дик,0,8
ад цитрин загуглил лолітульол ананасовуперсиков урожайн літ,0,7
лайн ситуац поінш і не скажеш,1,6
що найгірш в том що вьієб говорит правд це що правд настільк обурізан що невдал,1,15
матриц то одн з найлегш тем вишк я добр шарил,0,10
мудак в переклад стар іврит означ то ког трахнулис етимолог,1,10
ламп електронік це надійн насправд ні,0,6
а де можн в нет глянут сьогоднішн випуск новин на інтер,0,11
жінк мают прав на рівніст за закон,0,7
пю ча з мед і джин а я ризик,0,9
такийтотакийт це дартаньян тік уйобок с,1,6
хто недойобан ті що не можут знайт робот,1,8
дівчин в багат хлопц шлюх хлопец в як багат дівчат мач вот так і жив,1,15
ранок добр кол починаєт з діан я тоб там кав зроб,0,11
як чмо втир мен шо ад гонт рокбог і класик єб і зраз кид сво татух з на руц шоб я не сміл цьог заперечув,1,25
не повірит ал твіттер теж існ житт,0,7
фінк вдягнул червон підколінк мил,0,5
я і не збирал мен і сам треб мож психіатр,0,10
що робит пердн за вечер вон прост посиділ на диван і дивл на своїх сусід,1,15
передрочил настільк багат що нем слів щоб опис тво занятт,1,10
що каж педосян кол йде до бар давайт налив бо я ма грош,1,13
мятн жуйк хлопц спонсор ваш поцілунк мятн жуйк і кінец френдзон,0,11
зайшл в кафешечк попит латешечк а вабщ я хоч італійськ рістретт,0,11
мо вічн посп і нетерплячіст заважают жит,0,7
думал в сусід демон з ког виганяют а то їбанут собак гавк,1,12
що робит морд птах кол йом поган відкрив хрестик морд,1,10
мен приїх корпус робік з як як підарас скрут материнк звісн обійш в 200 грн ал я офігів скільк мен морок йог тепер оживит,1,24
можлив мал на уваз бух скотин почуваюч уйобіщн непотребом999032864221122561 …,1,10
що не бачиш клоуномпиздобол ал я бач теб прост так клоуномпиздобол,1,11
якщ педарюк то не маєш жодн шанс пройт відбор,1,9
розливн малін каж що коротк термін придатност я і спіш,0,10
88 прочит мудак на вокзал подум дивн чом вживаєш в однин це слов же ж там багат,1,17
я щодн через софійськ на робот йду я мабут встрел якб через то ход,0,14
мен блогорідер розфолов не витрим вид нов препарат заїб скотин ну і наріне заодн,1,14
джигар йом вже напис шо підар,1,6
що буд якщ вебморд побачит хлопец буд плак том що зрозум що йог призначенн використан,1,15
так поввічливіш звалит з кімн бо у мен вже вух вянут,0,11
дум вихідн додадут сил і натхненн ху там не жодн бажанн так і нем,0,14
вмі робит фок вуал і коробк рафаел нем поживн сніданок,0,10
а тепер навпак лиш до 28го у києв знайдіт,0,9
канєшн проізвідєн іскуств ал іскуств вмре якщ спат не буде0,0,10
з інтерв з ірландськ премєр побач тільк одн прот наш ж яценюк тіп лох яценюк так тєм запіздєл на раз,1,20
мам лайк на фб поді на як я збир в києв явн мрі щоб я вже звалил,0,17
усюд сюсюкают обіймают цілуют ідіт наху,1,6
здохн туп мраз не хоч це слух,1,7
що робит вийобавацц кол йом не плат зарплат ходит до роботодавц і говорит забер сво грош назад а я вийобавацц на,1,21
найахуєніш я бач у своєм житт ал не маєш ніяк розум,1,11
ну а що з повн комплектаціє кожен мож а над решт треб працюв,0,13
заїбал вже заходит в інтернетмагазин білизн скріз бачит підп на кшталт потіш кохан я себ потішит хоч ідіт наху,1,19
що не дуж мудр пиздячк,1,5
до пляшк ром ще ма додав порт шлюх,1,8
квіт мудак сучасн українськ мистецтв лайн о що я дум з цьог привод,1,13
ахуєвшост людин порівнян з ахуєвшост свин,1,6
ше не придумал так жирн і стрьомн я прост підсвідом ї заздр,0,12
і як тві раб не захищ теб розпечен олі зі сковорідк,0,11
що найгімнонц найкращ зна робит ган грош,1,7
що зробит якщ відпизжджен дитин випис йом рецепт на психотропник,1,10
пробу завтр я здивован що двер відкрит,0,7
мі йобнут телефон викон ті функці як сам захоч скотин,1,10
у замовник зараз ванн тепл кольор,0,6
мам вирощ велик красив квіт в сад,0,7
що биздіт зроб якщ мал пальц постав пальц на грамотност проп,1,11
напевн єдин оргазм мен світит с моєм житт це їж,0,10
винен сук порох а уйобок котр спровокув фактичн ус цю срачк на камер блок суд йобан рот,1,17
що кернеспідарас зроб кол йог затрим за крадіжк прост прокинув і поган себ почув,1,14
що найкращ всєращєнк зробит попросит йог піт дод,1,8
хм а це розумн бо в будьяк привел до хаос а так дуж норм,0,14
ці пиздьох всі відійшл на вихідн ал одн залишил дом пиздьох,1,11
що гівноїдн робл післ робот вон йдут до дом гівноїд,1,10
завтр на робот екзамен з охорон прац,0,7
що ма забавн ал це не так що блят зробил дівчин що прийшл на вечірк ніч пян,1,17
ну що я скаж болгарі не пощастил з дівчат українк набагат красивіш,0,12
кол прийм рішенн не йти на ворк з вечор то так соб горж бо кол просип зранк і збир лох шоб на пороз перед виход подум ну наху і лягт назад в ліжк всігд жалк за потрачен в пуст врєм шо можн посп,1,43
ід в поп я з посмішк не фоткал чіп тік купил а там так бород,0,15
я нікол не взна шо так бюджет том прост йдіт наху,1,11
що похмур днес то мабут через що женщин зажопают дуж швидк,1,11
що працю пизданеш найкращ вантажник,1,5
що посієш і пожнеш ал що я не памят щоб сіял мішок турбот,0,13
черг на реєстрац в школ совок і мудаквчител не пропуст мен бо я на 2 номер запізнил прищ паршив влад відчув,1,21
що найбільш недолік жоп що так маленьк,1,7
що дрючит на бабус найкращ перевір ваг бо мож надт багат,1,11
найкращ спосіб познайомит з дівчин це под ї лохлохлохлох а пот сказ привіт я тві батьк,1,16
везуч живуч мразот звучит звісн крут ал щод мразот не увєрєн,1,11
впускаєш тост в сво житт а вон підгоряют,0,8
красив жіноч тіл надихают на поез мен,0,7
дівчатк порийт в своїз шаф у там стііільк добр ще валяєт,0,11
розкажеш ком що в теб стал а вон а у мен ще гірш ідіт наху блят ніб ми змагаєм ком хуйовіш,1,21
а в них є я схож неуважн не помітил спасиб,0,10
уходіш ну і пизду не побув у тоб більш мійкхм не переп там головн,1,14
стукніт мен якщ я ще раз погодж їх у вегас з дитин молодш 10 рок,0,15
йдіт наху,1,2
жінк можут так сильн незламн в сво внутрішньост,0,8
вон захищают наш земл їм там холодн важк діт наш солдат,0,11
на днях як чувак скинул мі опис профіл в тіндер скрін і хз як танц з бубн найш мен в фб тут вже ніб пост вапрос поваг особист простор як маєш прав врив в ньог якш людин на то не дал згод ал мо то я їбанут кароч хз,1,49
їдем в купешечц а тут штиня коровяч какашк,0,8
у мен сьогодн ден дик алергі на акрил а я ж йог найкращ переносил,0,14
всі альбом по черз на репіт трет ден ніч не мож з соб зробит,0,14
нє більш ніж 193 ал я надт хвор шоб не розстроїт помилк,0,12
якщ відтрахан то тво житт не ма значенн,1,8
кароч не мож вже годин вирішит піт ще куд нарешт висп,0,11
тепер ча з вин займ окрем місц в моєм сердечк,0,10
до жидоіврит не потрібн поступ з поваг бо не потреб поваг,1,11
наприклад я примір зна що слов мудак старославянськ,1,8
сльоз в оч одн раз схуднеш і зрозумієш що теб ніхт нікол не люб бо їбанут а не жирн,1,19
що зробит під час погод пизданут з не побіг,1,9
подобают дред хвіст нечесан собак,0,5
а я лох в сид,1,5
що афігенніш за щоб принест пар афігенн баб на сво зустріч з батьк,1,13
934 я вже мав чотир хвилин працюв а я лиш вийш з дом,0,13
фак мі факалк відрост а пот викабелю скотин так то шо син педераст ше не означа шо можн сво хозяйств сунут куд вліз бешкетник,1,24
що зробит якщ подойобуваєш чуж діт найкращ позвонит до поліці,1,10
вибачт у велімир тут трошк підгоріл,0,6
гон на дівк не знаюч бо бач напівчорн і в секссценаїх в серіал знімал що лицемірк і шлюх нікол не бачил ал запевняют що твар,1,25
що зробит кол тво дівчин не подобаєт тво дрочк викин,1,10
що охуєв жінк більш за відпочинок без своїх муж,1,9
якщ не можеш ніч зробит правильн то прост лоховств,1,9
я до реч і сам печ печеньк по том скетчик,0,10
сьогодн я хоч зробит нормальн болоньєз,0,6
я йом дал через 2 тижн я не сильн шлюх рубрик вчасн питанн подруг,1,14
жінкиучен здобувают відомост досліджуют нов галуз наук,0,7
і йдіт наху,1,3
йду на пар з латин на свят не зна чом,0,10
прост мразот кончен,1,3
не зна що гірш паскудн італійськ вин непоган новозеландськ,0,9
« я ше ні з ким так не дурачивсяяк з тоб »,0,12
драт кол показуєш ком фотк на телефон а почин горт дал,0,11
етеншн якщ хто зна відправит реч з києв в крим відгукніт дуж треб,0,13
міш ж нік не розум і ухадіт не трим,0,9
розчаровуєзасмучуєобурют формулюванн „ сам застрел 520… постріл “ сумн слів „ пофіг сам не сам же мудак “,1,18
забув вдом грош і кредитк а обід ж хочет під пожебрак,0,11
жінк це справжн супергероїн,0,4
що робит педосівськ професор кол йом над прийн рішенн дум перед тим прийн рішенн і пот виріш ніч не робит,1,20
я ход ще на аляск за опіллячк ал жизн бол,0,10
пойобиш мен до див ал при цьом залиш досит байдуж,1,10
поверненн з відпустк феєричн тепер треб знов повернут до нормальн житт,0,11
жінк – це прекрасн створенн як мож захоплюв уваг своє крас унікальніст,0,12
це так догм хочеш в том гуртк дотриму догм і не забува гречк,0,13
постук в двер підскочил зашпортал об капц заплутал в плед перекинул стілец вїбал двер о ідіт наху,1,17
